pais_prod,count,lat,lng
Burundi,4,-3.426449,29.9324519
Islas Malvinas (Falkland),4,-51.9492937,-59.5383657
San Vicente y las Granadinas,4,12.90447,-61.2765569
Santo Tomé y Príncipe,4,0.9713095,7.02255
Macao,4,22.1899448,113.5380454
República Democrática Popular Lao,3,20.0171109,103.378253
Vanuatu,3,-16.5255069,168.1069154
Tayikistán,2,38.6281733,70.8156541
Malaui,2,-13.2687204,33.9301963
Anguila,2,18.1954947,-63.0750234
Nueva Caledonia,2,-21.3019905,165.4880773
San Marino,2,43.9458623,12.458306
Santa Sede (Vaticano),2,9.9394103,-84.1107549
Libia,2,26.8234472,18.1236723
Lesoto,2,-29.6039267,28.3350193
Islas Feroe,1,62.0448724,-7.0322972
Sáhara Occidental,1,24.1797324,-13.7667848
Guam,1,13.4501175,144.7577088
Suazilandia,1,-26.5624806,31.3991317
Tokelau,1,-9.1676396,-171.819687
Bután,1,27.549511,90.5119273
Gambia,1,13.470062,-15.4900464
Brunei Darussalam,1,4.4137155,114.5653908
Islas Marianas Septentrionales,1,,
Eritrea,1,15.9500319,37.9999668
Isla de Navidad (Chistmas),1,25.75918,-102.15256
