pais_prod,count,lat,lng,pais_prod_en
Nigeria,40,9.6000359,7.9999721,Nigeria
Angola,37,-11.8775768,17.5691241,Angola
Bangladesh,36,24.4769288,90.2934413,Bangladesh
Ruanda,36,-1.9646631,30.0644358,Rwanda
Costa de Marfil,35,7.9897371,-5.5679458,Ivory Coast
Irak,35,33.0955793,44.1749775,Iraq
Etiopía,33,10.2116702,38.6521203,Ethiopia
Níger,28,17.7356214,9.3238432,Niger
Uganda,28,1.5333554,32.2166578,Uganda
Albania,28,41.000028,19.9999619,Albania
Azerbaiyán,28,40.3936294,47.7872508,Azerbaijan
Islas Turcas y Caicos,27,21.721746,-71.5527809,Turks and Caicos Islands
Túnez,27,36.8002068,10.1857757,Tunisia
Somalia,26,8.3676771,49.083416,Somalia
Ghana,24,8.0300284,-1.0800271,Ghana
Armenia,24,40.7696272,44.6736646,Armenia
Islas Cook,24,-19.9969716,-157.7858714,Cook Islands
Barein,24,26.1551249,50.5344606,Bahrain
Guayana Francesa,23,4.0039882,-52.999998,French Guiana
Andorra,22,42.5407167,1.5732033,Andorra
Islas Vírgenes Británicas,20,18.4024395,-64.5661642,British Virgin Islands
Samoa,20,-13.7693895,-172.12005,Samoa
Chipre,20,34.9174159,32.8899027,Cyprus
Papúa Nueva Guinea,19,-5.6816069,144.2489081,Papua New Guinea
Santa Lucía,18,13.8250489,-60.975036,Saint Lucia
Guinea-Bisau,18,11.815215,-15.2351044,Guinea-Bissau
República Popular Democrática de Corea,18,40.3736611,127.0870417,Democratic People's Republic of Korea
Cabo Verde,18,16.0000552,-24.0083947,Cape Verde
Turkmenistán,18,39.3763807,59.3924609,Turkmenistan
Uzbekistán,17,41.32373,63.9528098,Uzbekistan
Mauricio,15,-20.2759451,57.5703566,Mauritius
Camboya,15,12.5433216,104.8144914,Cambodia
Madagascar,15,-18.9249604,46.4416422,Madagascar
Palestina,14,-20.389344,-49.4320384,Palestine
Sri Lanka,14,7.5554942,80.7137847,Sri Lanka
Benín,14,9.5293472,2.2584408,Benin
Sierra Leona,14,8.6400349,-11.8400269,Sierra Leone
Mozambique,13,-19.302233,34.9144977,Mozambique
Mónaco,13,43.7311424,7.4197576,Monaco
Fiyi,13,-18.1239696,179.0122737,Fiji
Seychelles,13,-4.6574977,55.4540146,Seychelles
Antigua República Yugoslava de Macedonia,12,41.66667,21.75,Former Yugoslav Republic of Macedonia
República Árabe Siria,12,34.6401861,39.0494106,Syrian Arab Republic
Mauritania,12,20.2540382,-9.2399263,Mauritania
Zimbabue,12,-18.4554963,29.7468414,Zimbabwe
Micronesia (Estados Federados de),12,8.6062347,151.8327443,Micronesia (Federated States of)
Liberia,11,5.7499721,-9.3658524,Liberia
Togo,11,8.7800265,1.0199765,Togo
Yibuti,10,11.8145966,42.8453061,Djibouti
Antigua y Barbuda,10,17.2234721,-61.9554608,Antigua and Barbuda
Afganistán,9,33.7680065,66.2385139,Afghanistan
Yemen,9,16.3471243,47.8915271,Yemen
República Democrática del Congo,9,-2.9814344,23.8222636,Democratic Republic of the Congo
Granada,9,37.1734995,-3.5995337,Grenada
Bosnia y Herzegovina,9,44.3053476,17.5961467,Bosnia and Herzegovina
Dominica,8,15.4113138,-61.3653618,Dominica
República Centroafricana,8,7.0323598,19.9981227,Central African Republic
San Cristóbal y Nieves,7,17.250512,-62.6725973,Saint Kitts and Nevis
Gabón,7,-0.8999695,11.6899699,Gabon
Botsuana,7,-23.1681782,24.5928742,Botswana
Maldivas,7,3.7203503,73.2244152,Maldives
Guinea Ecuatorial,7,1.613172,10.5170357,Equatorial Guinea
Mongolia,7,46.8250388,103.8499736,Mongolia
Antártida,7,-79.4063075,0.3149312,Antarctica
Islas Salomón,6,-8.7053941,159.1070694,Solomon Islands
Zambia,6,-14.5189121,27.5589884,Zambia
Tonga,6,-19.9160819,-175.202642,Tonga
Malí,6,16.3700359,-2.2900239,Mali
San Bartolomé,5,17.8967693,-62.825598,Saint Barthélemy
Sudán del Sur,5,7.8699431,29.6667897,South Sudan
Namibia,5,-23.2335499,17.3231107,Namibia
Liechtenstein,5,47.1416307,9.5531527,Liechtenstein
Congo,4,-2.9814344,23.8222636,Congo
Islas Vírgenes de los Estados Unidos,4,17.789187,-64.7080574,United States Virgin Islands
Guinea,4,10.7226226,-10.7083587,Guinea
Burundi,4,-3.426449,29.9324519,Burundi
Islas Malvinas (Falkland),4,-51.9492937,-59.5383657,Falkland Islands (Malvinas)
San Vicente y las Granadinas,4,12.90447,-61.2765569,Saint Vincent and the Grenadines
Santo Tomé y Príncipe,4,0.9713095,7.02255,São Tomé and Príncipe
Macao,4,22.1899448,113.5380454,Macau
República Democrática Popular Lao,3,20.0171109,103.378253,Lao People's Democratic Republic (Laos)
Vanuatu,3,-16.5255069,168.1069154,Vanuatu
Tayikistán,2,38.6281733,70.8156541,Tajikistan
Malaui,2,-13.2687204,33.9301963,Malawi
Anguila,2,18.1954947,-63.0750234,Anguilla
Nueva Caledonia,2,-21.3019905,165.4880773,New Caledonia
San Marino,2,43.9458623,12.458306,San Marino
Santa Sede (Vaticano),2,9.9394103,-84.1107549,Holy See (Vatican)
Libia,2,26.8234472,18.1236723,Libya
Lesoto,2,-29.6039267,28.3350193,Lesotho
Islas Feroe,1,62.0448724,-7.0322972,Faroe Islands
Sáhara Occidental,1,24.1797324,-13.7667848,Western Sahara
Guam,1,13.4501175,144.7577088,Guam
Suazilandia,1,-26.5624806,31.3991317,Eswatini (Swaziland)
Tokelau,1,-9.1676396,-171.819687,Tokelau
Bután,1,27.549511,90.5119273,Bhutan
Gambia,1,13.470062,-15.4900464,Gambia
Brunei Darussalam,1,4.4137155,114.5653908,Brunei Darussalam
Islas Marianas Septentrionales,1,,,Northern Mariana Islands
Eritrea,1,15.9500319,37.9999668,Eritrea
Isla de Navidad (Chistmas),1,25.75918,-102.15256,Christmas Island
